date,year,month,month_name,industrial_production_index,base_label
2002-01-01,2002,1,January,91.4,2001=100
2002-02-01,2002,2,February,93.7,2001=100
2002-03-01,2002,3,March,103.5,2001=100
2002-04-01,2002,4,April,104.2,2001=100
2002-05-01,2002,5,May,101.9,2001=100
2002-06-01,2002,6,June,105.1,2001=100
2002-07-01,2002,7,July,106.9,2001=100
2002-08-01,2002,8,August,107.4,2001=100
2002-09-01,2002,9,September,110.8,2001=100
2002-10-01,2002,10,October,122.5,2001=100
2002-11-01,2002,11,November,117.2,2001=100
2002-12-01,2002,12,December,114.6,2001=100
2003-01-01,2003,1,January,102.9,2001=100
2003-02-01,2003,2,February,103.3,2001=100
2003-03-01,2003,3,March,115.5,2001=100
2003-04-01,2003,4,April,118.7,2001=100
2003-05-01,2003,5,May,115.7,2001=100
2003-06-01,2003,6,June,123.2,2001=100
2003-07-01,2003,7,July,130.6,2001=100
2003-08-01,2003,8,August,128.2,2001=100
2003-09-01,2003,9,September,132.4,2001=100
2003-10-01,2003,10,October,144.6,2001=100
2003-11-01,2003,11,November,133.7,2001=100
2003-12-01,2003,12,December,135.7,2001=100
2004-01-01,2004,1,January,119.5,2001=100
2004-02-01,2004,2,February,122.9,2001=100
2004-03-01,2004,3,March,138.1,2001=100
2004-04-01,2004,4,April,135.4,2001=100
2004-05-01,2004,5,May,131.6,2001=100
2004-06-01,2004,6,June,137.7,2001=100
2004-07-01,2004,7,July,143.6,2001=100
2004-08-01,2004,8,August,140.8,2001=100
2004-09-01,2004,9,September,145.3,2001=100
2004-10-01,2004,10,October,154.6,2001=100
2004-11-01,2004,11,November,147.9,2001=100
2004-12-01,2004,12,December,141.6,2001=100
2005-01-01,2005,1,January,130.4,2001=100
2005-02-01,2005,2,February,129.7,2001=100
2005-03-01,2005,3,March,147.5,2001=100
2005-04-01,2005,4,April,142.0,2001=100
2005-05-01,2005,5,May,135.9,2001=100
2005-06-01,2005,6,June,136.0,2001=100
2005-07-01,2005,7,July,139.7,2001=100
2005-08-01,2005,8,August,141.5,2001=100
2005-09-01,2005,9,September,145.9,2001=100
2005-10-01,2005,10,October,157.2,2001=100
2005-11-01,2005,11,November,150.9,2001=100
2005-12-01,2005,12,December,149.1,2001=100
2006-01-01,2006,1,January,95.7,2010=100
2006-02-01,2006,2,February,97.6,2010=100
2006-03-01,2006,3,March,110.8,2010=100
2006-04-01,2006,4,April,104.6,2010=100
2006-05-01,2006,5,May,106.5,2010=100
2006-06-01,2006,6,June,109.2,2010=100
2006-07-01,2006,7,July,112.6,2010=100
2006-08-01,2006,8,August,111.8,2010=100
2006-09-01,2006,9,September,111.4,2010=100
2006-10-01,2006,10,October,120.6,2010=100
2006-11-01,2006,11,November,122.1,2010=100
2006-12-01,2006,12,December,123.5,2010=100
2007-01-01,2007,1,January,106.9,2010=100
2007-02-01,2007,2,February,105.2,2010=100
2007-03-01,2007,3,March,118.4,2010=100
2007-04-01,2007,4,April,114.2,2010=100
2007-05-01,2007,5,May,112.4,2010=100
2007-06-01,2007,6,June,116.8,2010=100
2007-07-01,2007,7,July,118.9,2010=100
2007-08-01,2007,8,August,122.4,2010=100
2007-09-01,2007,9,September,117.3,2010=100
2007-10-01,2007,10,October,137.4,2010=100
2007-11-01,2007,11,November,127.0,2010=100
2007-12-01,2007,12,December,123.8,2010=100
2008-01-01,2008,1,January,112.2,2010=100
2008-02-01,2008,2,February,112.8,2010=100
2008-03-01,2008,3,March,121.2,2010=100
2008-04-01,2008,4,April,117.5,2010=100
2008-05-01,2008,5,May,117.9,2010=100
2008-06-01,2008,6,June,117.7,2010=100
2008-07-01,2008,7,July,122.3,2010=100
2008-08-01,2008,8,August,118.3,2010=100
