spec,window,actual_peak,cf_peak,gap
baseline_no_fx_aic,2008_2009,31.06327699255596,31.35844688845639,-0.29516989590042897
baseline_no_fx_aic,2014_2015,60.90567462067749,36.6572618886011,24.24841273207639
baseline_no_fx_aic,2022_2023,26.603244193438847,45.918786168452954,-19.315541975014106
baseline_no_fx_bic,2008_2009,31.06327699255596,29.22857179509869,1.834705197457268
baseline_no_fx_bic,2014_2015,60.90567462067749,31.110690859489896,29.79498376118759
baseline_no_fx_bic,2022_2023,26.603244193438847,35.73683023508312,-9.133586041644271
baseline_no_fx_lag6,2008_2009,31.06327699255596,31.35528241734349,-0.2920054247875292
baseline_no_fx_lag6,2014_2015,60.90567462067749,36.80507933113836,24.10059528953913
baseline_no_fx_lag6,2022_2023,26.603244193438847,36.70106555949644,-10.097821366057595
baseline_no_fx_lag12,2008_2009,31.06327699255596,31.01833242143741,0.04494457111854899
baseline_no_fx_lag12,2014_2015,60.90567462067749,43.1076361557496,17.798038464927885
baseline_no_fx_lag12,2022_2023,26.603244193438847,50.40565264664963,-23.80240845321078
with_fx_aic,2008_2009,31.06327699255596,31.985915936206805,-0.9226389436508455
with_fx_aic,2014_2015,60.90567462067749,37.27910238149274,23.626572239184746
with_fx_aic,2022_2023,26.603244193438847,46.63757979114769,-20.03433559770884
with_fx_lag6,2008_2009,31.06327699255596,31.91825573304539,-0.8549787404894325
with_fx_lag6,2014_2015,60.90567462067749,37.761914270583446,23.14376035009404
with_fx_lag6,2022_2023,26.603244193438847,37.62256106061011,-11.019316867171263
add_nbu_rate,2008_2009,31.06327699255596,25.64372636164773,5.41955063090823
add_nbu_rate,2014_2015,60.90567462067749,28.461121600331648,32.444553020345836
add_nbu_rate,2022_2023,26.603244193438847,27.31632954152421,-0.713085348085361
add_ecb_rate,2008_2009,31.06327699255596,17.289605450762735,13.773671541793224
add_ecb_rate,2014_2015,60.90567462067749,8.724460278678242,52.181214341999244
add_ecb_rate,2022_2023,26.603244193438847,19.98262086569162,6.620623327747229
